path1_bw,path1_loss,path1_delay,path2_bw,path2_loss,path2_delay,scheduler_name,no_of_itr,file_size,time
8mbit,8mbit,5mbit,2ms,3ms,1.00%,2.00%,round_robin,4,2MB,1.05527
8mbit,8mbit,5mbit,2ms,3ms,1.00%,2.00%,round_robin,4,2MB,0.94407
8mbit,8mbit,5mbit,2ms,3ms,1.00%,2.00%,round_robin,4,2MB,2.17635
8mbit,8mbit,5mbit,2ms,3ms,1.00%,2.00%,round_robin,4,2MB,2.88254
10mbit,10mbit,5mbit,5ms,7ms,20.00%,6.00%,low_latency,3,2MB,2.71967
10mbit,10mbit,5mbit,5ms,7ms,20.00%,6.00%,low_latency,3,2MB,3.21417
10mbit,10mbit,5mbit,5ms,7ms,20.00%,6.00%,low_latency,3,2MB,3.06048
12mbit,12mbit,8mbit,8ms,10ms,15.00%,9.00%,ecf,2,2MB,3.34236
12mbit,12mbit,8mbit,8ms,10ms,15.00%,9.00%,ecf,2,2MB,3.05507
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,2.93362
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,3.02420
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,2.93241
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,3.27049
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,3.12933
8mbit,8mbit,5mbit,2ms,3ms,1.00%,2.00%,round_robin,4,2MB,3.12933
8mbit,8mbit,5mbit,2ms,3ms,1.00%,2.00%,round_robin,4,2MB,3.12933
8mbit,8mbit,5mbit,2ms,3ms,1.00%,2.00%,round_robin,4,2MB,3.12933
8mbit,8mbit,5mbit,2ms,3ms,1.00%,2.00%,round_robin,4,2MB,3.12933
10mbit,10mbit,5mbit,5ms,7ms,20.00%,6.00%,low_latency,3,2MB,3.12933
10mbit,10mbit,5mbit,5ms,7ms,20.00%,6.00%,low_latency,3,2MB,3.12933
10mbit,10mbit,5mbit,5ms,7ms,20.00%,6.00%,low_latency,3,2MB,3.12933
12mbit,12mbit,8mbit,8ms,10ms,15.00%,9.00%,ecf,2,2MB,3.12933
12mbit,12mbit,8mbit,8ms,10ms,15.00%,9.00%,ecf,2,2MB,3.12933
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,3.12933
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,3.12933
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,3.12933
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,3.12933
14mbit,14mbit,22mbit,10ms,4ms,20.00%,3.00%,blest,5,2MB,3.12933
