path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2
3,46720.000000,46720.000000,25.000000,25.000000,0,0,0,0
1,46720.000000,46720.000000,65.000000,65.000000,0,0,0,0

1,46720.000000,46720.000000,40.000000,65.000000,2202822,0,2202822,0

3,46720.000000,46720.000000,40.000000,40.000000,2163320,2202822,2163320,2202822

1,46720.000000,46720.000000,40.000000,40.000000,2202822,2163320,2202822,2163320

3,46720.000000,46720.000000,40.000000,40.000000,2163320,2202822,2163320,2202822

1,46720.000000,46720.000000,40.000000,40.000000,2202822,2163320,2202822,2163320

3,46720.000000,46720.000000,40.000000,40.000000,2163320,2202822,2163320,2202822

3,46720.000000,46720.000000,40.000000,40.000000,2163320,2202822,2163320,2202822

1,46720.000000,46720.000000,40.000000,40.000000,2202822,2163320,2202822,2163320

3,46720.000000,46720.000000,40.000000,40.000000,2163320,2202822,2163320,2202822

1,46720.000000,46720.000000,40.000000,40.000000,2202822,2163320,2202822,2163320
path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2
0,46720.000000,46720.000000,35.000000,25.000000,150978,0,2349000,0
1,46720.000000,46720.000000,65.000000,25.000000,0,0,0,0

3,46720.000000,46720.000000,65.000000,65.000000,0,0,0,0

1,46720.000000,46720.000000,65.000000,65.000000,0,0,0,0

3,46720.000000,46720.000000,65.000000,40.000000,0,713533,0,713533

1,46720.000000,46720.000000,40.000000,65.000000,713533,0,713533,0

3,46720.000000,46720.000000,40.000000,40.000000,641881,713533,641881,713533

1,46720.000000,46720.000000,40.000000,40.000000,713533,641881,713533,641881

3,46720.000000,46720.000000,40.000000,40.000000,641881,713533,641881,713533

1,46720.000000,46720.000000,40.000000,40.000000,713533,641881,713533,641881

3,46720.000000,46720.000000,40.000000,40.000000,641881,713533,641881,713533
path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2
1,46720.000000,46720.000000,65.000000,25.000000,0,0,0,0
3,46720.000000,46720.000000,65.000000,65.000000,0,0,0,0

3,46720.000000,46720.000000,40.000000,65.000000,1773848,0,1773848,0

3,46720.000000,46720.000000,40.000000,65.000000,1773848,0,1773848,0

1,46720.000000,46720.000000,65.000000,40.000000,0,1773848,0,1773848

1,46720.000000,46720.000000,65.000000,40.000000,0,1773848,0,1773848

3,46720.000000,46720.000000,40.000000,65.000000,1773848,0,1773848,0

1,46720.000000,46720.000000,65.000000,40.000000,0,1773848,0,1773848

1,46720.000000,46720.000000,65.000000,40.000000,0,1773848,0,1773848
path_id,cwnd_1,cwnd_2,in_flight_1,in_flight_2,rtt_1,rtt_2,avg_rtt_1,avg_rtt_2
0,46720.000000,46720.000000,35.000000,25.000000,141027,0,3012000,0
1,46720.000000,46720.000000,65.000000,25.000000,0,0,0,0

3,46720.000000,46720.000000,65.000000,65.000000,0,0,0,0

1,46720.000000,46720.000000,65.000000,40.000000,0,1882525,0,1882525

3,46720.000000,46720.000000,40.000000,65.000000,1882525,0,1882525,0

1,46720.000000,46720.000000,65.000000,40.000000,0,1882525,0,1882525

3,46720.000000,46720.000000,40.000000,65.000000,1882525,0,1882525,0

1,46720.000000,46720.000000,65.000000,40.000000,0,1882525,0,1882525

3,46720.000000,46720.000000,40.000000,65.000000,1882525,0,1882525,0

1,46720.000000,46720.000000,105.000000,0.000000,0,1882525,0,1882525

3,46720.000000,46720.000000,43.000000,105.000000,1882525,0,1882525,0

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,0.000000,0.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,0.000000,180.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,180.000000,0.000000,383270,982919,1694000,982919

3,46720.000000,46720.000000,0.000000,180.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,180.000000,0.000000,982919,383270,982919,1694000

1,46720.000000,46720.000000,180.000000,0.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,50.000000,180.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,230.000000,50.000000,982919,383270,982919,1694000

3,46720.000000,46720.000000,50.000000,230.000000,383270,982919,1694000,982919

1,46720.000000,46720.000000,230.000000,0.000000,982919,633638,982919,1561000

1,46720.000000,46720.000000,230.000000,0.000000,982919,633638,982919,1561000

1,46720.000000,46720.000000,230.000000,0.000000,982919,633638,982919,1561000

3,46720.000000,46720.000000,0.000000,230.000000,633638,982919,1561000,982919

3,46720.000000,46720.000000,0.000000,230.000000,633638,982919,1561000,982919

3,46720.000000,46720.000000,0.000000,230.000000,633638,982919,1561000,982919

1,46720.000000,46720.000000,230.000000,0.000000,982919,633638,982919,1561000

3,46720.000000,46720.000000,0.000000,0.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,0.000000,0.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,0.000000,0.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,0.000000,0.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,0.000000,0.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,0.000000,0.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,0.000000,0.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,0.000000,0.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,0.000000,0.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,0.000000,0.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,0.000000,0.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,0.000000,0.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,0.000000,0.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,0.000000,0.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,0.000000,0.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,0.000000,0.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,0.000000,0.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,76.000000,128.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,128.000000,76.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,76.000000,128.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,128.000000,76.000000,633638,1191951,1561000,1008000

3,46720.000000,46720.000000,128.000000,76.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,76.000000,128.000000,1191951,633638,1008000,1561000

1,46720.000000,46720.000000,76.000000,128.000000,1191951,633638,1008000,1561000

1,46720.000000,46720.000000,76.000000,128.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,128.000000,76.000000,633638,1191951,1561000,1008000

3,46720.000000,46720.000000,178.000000,76.000000,633638,1191951,1561000,1008000

1,46720.000000,46720.000000,126.000000,178.000000,1191951,633638,1008000,1561000

3,46720.000000,46720.000000,0.000000,126.000000,540624,1191951,1433000,1008000

1,46720.000000,46720.000000,126.000000,0.000000,1191951,540624,1008000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,0.000000,0.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,76.000000,257974,540624,914000,1433000

3,46720.000000,46720.000000,76.000000,128.000000,540624,257974,1433000,914000

1,46720.000000,46720.000000,0.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,0.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

1,46720.000000,46720.000000,50.000000,0.000000,168396,144853,820000,1271000

3,46720.000000,46720.000000,0.000000,50.000000,144853,168396,1271000,820000

